computer	application	vendor	version
160613EIU	StarBoard Document Capture	Hitachi Software Engineering Co., Ltd.	8.0
160613EIU	StarBoard Driver	Hitachi Software Engineering Co., Ltd.	8.01.0000
160613EIU	USB Tablet Manager	Hitachi Software Engineering Co., Ltd.	3.31.0000
160613EIU	Microsoft Office Professional Plus 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Microsoft Office InfoPath MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Microsoft Office Access MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Microsoft Office Shared Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Microsoft Office Excel MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Microsoft Office Access Setup Metadata MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Microsoft Office PowerPoint MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Microsoft Office Publisher MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Microsoft Office Outlook MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Microsoft Office Word MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Microsoft Office Proofing (English) 2007	Microsoft Corporation	12.0.4518.1014
160613EIU	Microsoft Office Shared MUI (English) 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Microsoft Office Proof (English) 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Microsoft Office Proof (Spanish) 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Microsoft Office Proof (French) 2007	Microsoft Corporation	12.0.6425.1000
160613EIU	Apple Mobile Device Support	Apple Inc.	4.0.0.96
160613EIU	Wolfram Notebook Indexer 2.0	Wolfram Research	2.18.34059
160613EIU	Windows Media Encoder 9 Series	Microsoft Corporation	9.00.2980
160613EIU	QuickTime	Apple Inc.	7.70.80.34
160613EIU	Symantec Endpoint Protection	Symantec Corporation	11.0.5002.333
160613EIU	Lumension Patch Agent for Windows	Lumension Security, Inc.	7.0.0.551
160613EIU	SmartMsg Client	Federal Signal Codespear	5.2.1
160613EIU	Java(TM) 6 Update 24	Oracle	6.0.240
160613EIU	Acrobat.com	Adobe Systems Incorporated	2.1.0
160613EIU	Microsoft .NET Framework 4 Client Profile	Microsoft Corporation	4.0.30319
160613EIU	Adobe Reader 9.4.6	Adobe Systems Incorporated	9.4.6
160613EIU	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161	Microsoft Corporation	9.0.30729.6161
160613EIU	MSXML 4.0 SP2 (KB973688)	Microsoft Corporation	4.20.9876.0
160613EIU	Adobe AIR	Adobe Systems Incorporated	2.7.1.19610
160613EIU	swMSM	Adobe Systems, Inc	12.0.0.1
160613EIU	TurningPoint 2008	Turning Technologies, LLC.	4.0.0.7323
160613EIU	LM Agent	Lumension Security, Inc.	7.0.0.639
160613EIU	Broadcom Gigabit NetLink Controller	Broadcom Corporation	12.33.02
160613EIU	iTunes	Apple Inc.	10.5.0.142
160613EIU	TurningPoint AnyWhere 2008	Turning Technologies, LLC.	1.0.0.7323
160613EIU	Origin81	OriginLab	8.10.000
160613EIU	Sassafras K2 Client	Sassafras Software Inc.	6.1
160613EIU	Logger Pro 3.8.4	Vernier Software & Technology	5.11.384
160613EIU	StarBoard Software	Hitachi Software Engineering Co., Ltd.	8.0
160613EIU	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148	Microsoft Corporation	9.0.30729.4148
160613EIU	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17	Microsoft Corporation	9.0.30729
160613EIU	Bonjour	Apple Inc.	2.0.2.0
160613EIU	MSXML 4.0 SP2 (KB954430)	Microsoft Corporation	4.20.9870.0
160613EIU	Apple Application Support	Apple Inc.	2.1.5
160613EIU	StarBoard Software StandardGallery		8.00.0000
160613EIU	Citrix XenApp Web Plugin	Citrix Systems, Inc.	11.0.0.5357
160613EIU	Java Auto Updater	Sun Microsystems, Inc.	2.0.2.1
